title,main_genre,belongs_to_collection,budget,revenue,production_companies,vote_average,popularity,runtime,cast_size,crew_size,cast_tr,director_tr,production_company_tr,English,title_length,rel_year,rel_month
The Mask of Zorro,Action,True,95.0,250.288523,2.0,6.3,11.348096,136.0,24,16,1055.062967,367.534034,1960.34232,True,14,1998,July
Pokémon: The First Movie: Mewtwo Strikes Back,Animation,True,30.0,163.644662,11.0,6.7,7.556825999999999,75.0,20,4,0.0,0.0,20.0,False,39,1998,July
Disturbing Behavior,Mystery,False,15.0,17.507368,5.0,5.5,11.054751,84.0,15,27,24.760338000000004,0.0,6.739141,True,18,1998,July
Jane Austen's Mafia!,Comedy,False,10.0,19.0,2.0,5.4,6.046893,84.0,15,44,96.53540700000002,469.927407,0.0,True,18,1998,July
Saving Private Ryan,Drama,False,70.0,481.840909,5.0,7.9,21.758054,169.0,38,112,2835.234018,4926.572808000001,15124.905222,True,17,1998,July
The Negotiator,Action,False,50.0,44.547681,2.0,6.8,7.655019999999999,140.0,47,31,1072.4699460000002,69.806804,1227.583741,True,13,1998,July
Ever After: A Cinderella Story,Drama,False,26.0,65.705772,1.0,6.8,13.309701,121.0,25,46,1287.972811,29.481428,11454.715876,True,26,1998,July
Halloween: H20,Horror,True,17.0,55.041738,1.0,5.7,8.619067999999999,86.0,19,8,813.884656,188.455373,30.804372000000008,True,13,1998,August
Snake Eyes,Crime,False,73.0,103.891409,4.0,5.8,11.604533,98.0,23,78,2370.686755,826.876543,15606.746131,True,9,1998,August
"First Love, Last Rites",Drama,False,0.3,0.040542,2.0,3.0,0.546143,94.0,6,3,2.057193,0.0,0.0,True,19,1998,August
The Avengers,Thriller,False,60.0,48.585416,2.0,4.4,9.562953,89.0,16,8,3160.4767770000003,94.522734,206.762942,True,11,1998,August
How Stella Got Her Groove Back,Comedy,False,20.0,37.67235,1.0,6.0,3.645263,124.0,38,9,1121.093322,0.0,11520.421648,True,25,1998,August
Run Lola Run,Action,False,1.53,7.267585,2.0,7.2,7.7653789999999985,81.0,23,37,0.0,0.0,0.0,False,10,1998,August
Blade,Horror,True,45.0,131.18353000000002,4.0,6.5,15.043454,120.0,48,147,924.516539,1.4227490000000105,2906.61046,True,5,1998,August
Dil Se..,Drama,False,5.2,13.0,2.0,6.7,1.891138,163.0,21,18,111.0,0.0,0.0,False,7,1998,August
54,Other,False,13.0,16.757163000000002,4.0,5.5,8.736869,106.0,34,45,198.24352,0.5326540000000008,0.0,True,2,1998,August
I Married a Strange Person!,Drama,False,0.00025,0.000203,1.0,7.5,0.817002,72.0,3,2,0.0,0.0,0.0,True,23,1998,August
The Red Violin,Drama,False,18.0,9.495408,2.0,7.2,7.7258429999999985,131.0,58,3,0.0,0.0,0.0,True,12,1998,September
Simon Birch,Comedy,False,20.0,18.253415,2.0,6.5,2.651408,114.0,10,10,68.56489499999999,0.0,580.501352,True,10,1998,September
Very Bad Things,Comedy,False,30.0,9.898412,4.0,6.2,10.432293,100.0,20,19,1057.938492,0.0,0.0,True,13,1998,September
Rounders,Drama,False,12.0,22.921898,2.0,6.9,8.783453999999999,121.0,58,14,794.019788,2.0,1768.745124,True,8,1998,September
Without Limits,Drama,False,25.0,0.777423,2.0,6.4,3.643468,117.0,12,4,414.017346,0.0,0.0,True,13,1998,September
Following,Crime,False,0.006,0.048482,2.0,7.2,5.283661,69.0,15,10,0.0,0.0,0.0,True,9,1998,September
The Terrorist,Drama,False,0.024554,0.140021,,8.1,0.154526,95.0,4,1,0.0,0.0,,True,12,1998,September
Elizabeth,Drama,True,30.0,82.150642,3.0,7.2,7.566321,124.0,19,48,15.583278000000009,0.0003990000000015,542.0338219999999,True,9,1998,September
Rushmore,Comedy,False,9.0,17.096053,1.0,7.5,5.997054,93.0,13,9,840.02113,0.5600689999999986,2505.284103,True,8,1998,September
Six-String Samurai,Action,False,2.0,0.124494,1.0,5.8,2.740989,91.0,15,9,0.0,0.0,0.565592,True,17,1998,September
Rush Hour,Action,True,33.0,244.386864,1.0,6.8,11.840557,98.0,22,17,220.397169,0.0,3037.79399,True,8,1998,September
Urban Legend,Horror,True,14.0,72.52759499999998,4.0,5.6,6.0814010000000005,99.0,26,28,0.5893039999999985,0.0,0.0,True,11,1998,September
Ronin,Action,False,55.0,41.61088400000001,2.0,6.8,9.672094,122.0,33,75,1753.752203,236.736258,5292.312928,True,5,1998,September
A Night at the Roxbury,Comedy,False,17.0,30.331165,2.0,5.9,12.480685,81.0,15,8,0.0,17.014652999999996,15710.63754,True,18,1998,October
Antz,Adventure,False,60.0,171.757863,3.0,6.0,16.025625,83.0,18,66,1702.195927,0.0,74.0,True,4,1998,October
Strangeland,Horror,False,1.1,0.631221,2.0,4.7,2.31478,86.0,15,2,93.45052300000002,0.0,1.503248,True,11,1998,October
What Dreams May Come,Drama,False,85.0,71.485043,1.0,6.8,11.218378,113.0,18,16,3198.630531,0.0,1139.2381770000002,True,17,1998,October
Happiness,Comedy,False,3.0,2.8073900000000003,2.0,7.4,5.493697,139.0,18,7,40.934037,0.0,0.0,True,9,1998,October
Bride of Chucky,Horror,True,25.0,50.67185,2.0,5.5,13.018491,89.0,19,17,230.491165,0.0,13363.193534,True,13,1998,October
Kuch Kuch Hota Hai,Drama,False,1.53,15.306,,7.5,6.4411190000000005,185.0,13,6,224.0,0.0,,False,15,1998,October
Practical Magic,Drama,False,75.0,46.683377,5.0,6.3,7.757795,104.0,13,35,1524.563577,34.673095,24.246509,True,14,1998,October
"Blood, Guts, Bullets and Octane",Action,False,0.0073,0.013674,,6.0,0.137676,87.0,15,9,0.0,0.0,,True,27,1998,October
Soldier,Action,False,75.0,14.567882999999998,4.0,6.1,7.970031,99.0,19,49,980.133848,148.86916200000002,0.0,True,7,1998,October
American History X,Drama,False,20.0,23.875127,3.0,8.2,18.157166,119.0,53,100,375.791264,0.0,3282.180854,True,16,1998,October
Living Out Loud,Comedy,False,12.0,12.90279,2.0,5.4,1.575026,100.0,8,11,1524.2573959999995,0.0,3306.055981,True,13,1998,October
The Waterboy,Comedy,False,23.0,185.991646,1.0,5.9,9.461823,90.0,15,9,453.487194,123.306987,2522.380156,True,11,1998,November
The Siege,Drama,False,70.0,116.672912,3.0,6.1,9.019114,116.0,14,87,3466.192804,327.03037600000005,11558.093998,True,8,1998,November
Meet Joe Black,Fantasy,False,90.0,142.9401,2.0,6.9,14.026744,178.0,11,83,2468.656295,488.869337,13413.865384,True,12,1998,November
I Still Know What You Did Last Summer,Horror,True,65.0,40.002112,3.0,5.1,11.023042,100.0,11,78,151.191149,113.493481,3022.476498,True,30,1998,November
The Rugrats Movie,Animation,True,30.0,100.491683,3.0,5.8,5.1543730000000005,79.0,13,8,1109.703653,0.0,15740.968705,True,15,1998,November
Enemy of the State,Action,False,90.0,250.649836,4.0,6.7,12.978751,132.0,44,18,3878.690586,1084.146368,777.8118,True,15,1998,November
A Bug's Life,Adventure,False,120.0,363.258859,2.0,6.8,16.869208999999998,95.0,16,19,281.25750100000005,373.554033,4623.002455,True,10,1998,November
Home Fries,Drama,False,15.0,10.443316,3.0,4.8,2.312844,93.0,8,23,1485.531805,0.0,5275.815845,True,9,1998,November
Babe: Pig in the City,Adventure,True,90.0,69.13186,1.0,5.3,6.229629,92.0,21,13,67.809578,231.883949,234.837957,True,17,1998,November
Ringmaster,Comedy,False,3.5,9.247881,1.0,3.8,0.556435,90.0,11,2,0.0,0.0,0.0,True,10,1998,November
Psycho,Horror,False,60.0,37.14113,2.0,4.8,6.7158979999999975,105.0,8,8,642.2187220000001,251.947301,1381.230775,True,6,1998,December
Star Trek: Insurrection,Science Fiction,True,70.0,118.0,1.0,6.3,9.538877,103.0,11,20,960.653522,150.0,15841.460388,True,21,1998,December
